Year	State/UTs	Acute Diarrhoeal Diseases - Cases	Acute Diarrhoeal Diseases - Deaths	Malaria - Cases	Malaria - Deaths	Acute Respiaratory Infection - Cases	Acute Respiaratory Infection - Deaths	Japanese Encephalitis - Cases	Japanese Encephalitis - Deaths	Viral Hepatitis - Cases	Viral Hepatitis - Deaths
2010(P)	GRAND TOTAL	10112845	1388	1373317	678	24720144	2612	5171	685	85164	416
2010(P)	Andhra Pradesh	2291375	214	31095	20	3117568	275	139	7	9949	60
2010(P)	Arunachal Pradesh	19104	3	15337	NA	35804	4	NULL	NULL	219	6
2010(P)	Assam	75681	NA	57969	34	56547	NA	562	125	312	NA
2010(P)	Bihar	NULL	NULL	1149	3	NULL	NULL	50	7	NULL	NULL
2010(P)	Chhattisgarh	51480	2	118500	32	107827	7	NULL	NULL	287	4
2010(P)	Delhi	115478	89	250	NA	249463	182	NULL	NULL	6510	61
2010(P)	Goa	16417	5	2186	1	71344	8	80	NA	71	NA
2010(P)	Gujarat	233640	2	58996	9	382499	NA	NULL	NULL	2673	NA
2010(P)	Haryana	207143	41	9610	NA	983342	65	1	1	1500	4
2010(P)	Himachal Pradesh	284548	28	197	NA	1364166	188	NULL	NULL	2566	13
2010(P)	Jammu & Kashmir	494138	2	718	NA	477673	1	NULL	NULL	3990	
2010(P)	Jharkhand	56298	NA	173891	13	92847	NA	NULL	NULL	231	NA
2010(P)	Karnataka	539761	60	41861	11	1473152	184	143	1	8308	16
2010(P)	Kerala	371287	2	2162	4	6013090	120	19	5	5395	6
2010(P)	Madhya Pradesh	305438	107	80094	NA	578177	238	34	17	5168	15
2010(P)	Maharashtra	813445	12	124860	162	796617	88	NULL	NULL	5446	36
2010(P)	Manipur	12127	11	890	4	17183	13	118	15	298	NA
2010(P)	Meghalaya	170480	15	40180	82	296209	NA	NULL	NULL	428	1
2010(P)	Mizoram	16148	12	15060	22	25665	18	NULL	NULL	571	12
2010(P)	Nagaland	31526	0	4736	5	57602	NA	11	6	99	NA
2010(P)	Orissa	560255	94	328767	203	1069258	160	NULL	NULL	2879	57
2010(P)	Punjab	204936	39	3369	NA	642862	15	NULL	NULL	6546	21
2010(P)	Rajasthan	181337	9	47057	26	686113	32	NULL	NULL	950	1
2010(P)	Sikkim	47320	2	47	NA	92887	7	NULL	NULL	798	2
2010(P)	Tamil Nadu	428247	47	14102	1	2287402	234	466	7	5143	3
2010(P)	Tripura	75964	33	22926	8	105282	129	NULL	NULL	450	4
2010(P)	Uttar Pradesh	385412	132	59114	NA	817467	141	3540	494	1977	9
2010(P)	Uttarakhand	100065	42	1599	NA	132998	92	7	NA	6645	12
2010(P)	West Bengal	1832605	368	108180	38	1828754	411	1	NA	4440	65
2010(P)	A & N Islands	24355	8	2377	NA	53187	NA	NULL	NULL	228	4
2010(P)	Chandigarh	NULL	NULL	347	NA	NULL	NULL	NULL	NULL	NULL	NULL
2010(P)	D & N Haveli	69265	1	5339	NA	112471	NA	NULL	NULL	314	2
2010(P)	Daman & Diu	8169	NA	194	NA	48839	NA	NULL	NULL	103	NA
2010(P)	Lakshadweep	6742	NA	6	NA	17263	NA	NULL	NULL	20	NA
2010(P)	Puducherry	82659	5	154	NA	628586	NA	NULL	NULL	650	2
2011(P)	GRAND TOTAL	10231049	1269	1278760	463	26300208	2492	8249	1169	94402	520
2011(P)	Andhra Pradesh	2235614	107	39559	5	3089290	236	73	1	11050	61
2011(P)	Arunachal Pradesh	32228	11	10961	NA	48602	9	NULL	NULL	636	4
2011(P)	Assam	96816	16	47397	42	314824	NA	1319	250	2557	25
2011(P)	Bihar	130276	NULL	2390	0	87486	NULL	821	197	202	NULL
2011(P)	Chhattisgarh	64575	5	131179	18	155743	18	NULL	NULL	139	1
2011(P)	Delhi	102983	62	413	NA	198541	102	9	NULL	8347	68
2011(P)	Goa	15146	2	1231	1	61029	6	91	1	118	NA
2011(P)	Gujarat	367450	0	86005	15	604076	NA	NULL	NULL	4328	NA
2011(P)	Haryana	224223	21	33345	1	1275035	48	90	14	2557	2
